m,n,o,num_images,chi2,source_x,source_y,pos_rms,mag_rms,avg_mag_per,pos_A,mag_A,mag_err_A,mag_per_A,pos_B,mag_B,mag_err_B,mag_per_B,pos_C,mag_C,mag_err_C,mag_per_C,pos_D,mag_D,mag_err_D,mag_per_D,"POW_$z_{s,fid}$",POW_x,POW_y,POW_e,POW_$θ_{e}$,POW_$r_{Ein}$,POW_$\gamma$ (PWI)
1.5,0.2,0.0,4,3.126688,0.1022432,0.03793864,0.002372235232855293,58.61083393070346,639.5851411205485,0.00044721359549995833,-62.673,-73.43900000000001,482.1382128924392,0.004701063709417266,17.0676,15.007599999999998,728.5242718446601,0.00044721359549995833,-54.7353,-65.0113,432.6518100428182,9.99999999999994e-05,104.3244,94.04639999999999,915.0262697022766,1.0,0.1238455,0.0377138,0.07387159,-1.422511,0.4786239,1.571122
1.5,0.20909,0.0,5,3.121633,0.1036833,0.03792054,0.002372235232855293,77.346352657349,843.7310204533185,0.00044721359549995833,-80.3321,-91.0981,646.1647780048299,0.004701063709417266,21.6186,19.558600000000002,949.4466019417476,0.00044721359549995833,-70.1825,-80.4585,582.974892954457,9.99999999999994e-05,133.2376,122.95959999999998,1196.3378089122396,1.0,0.1224141,0.03772611,0.06298602,-1.423682,0.4785558,1.514776
1.5,0.21818,0.0,1,345.7937,0.09220334,0.03667809,0.732442007943291,454.91711598461535,8851.463375888834,0.567908883536787,463.2476,452.48159999999996,4202.875719858815,0.5525377181695381,463.2476,461.1876,22387.747572815533,0.9356768779872676,463.2476,452.97159999999997,4408.053717399766,0.8016080900290365,463.2476,452.96959999999996,4407.176493481222,1.0,0.09220335,0.03667808,1.386013e-07,-48.46431,0.4805465,1.503545
1.5,0.22727,0.0,0,345.8279,0.09193567,0.03659698,,,,,,,,,,,,,,,,,,,,1.0,0.09193527,0.03659697,1.265407e-06,-87.20187,0.4806974,1.504163
1.5,0.23636,0.0,0,349.1497,0.09185685,0.03673941,,,,,,,,,,,,,,,,,,,,1.0,0.09185726,0.03673846,1.917591e-05,-42.61289,0.4809086,2.199339
1.5,0.24545,0.0,0,345.9835,0.09159746,0.03651813,,,,,,,,,,,,,,,,,,,,1.0,0.09159763,0.03651821,1.219309e-06,31.31119,0.4810164,1.509931
1.5,0.25455,0.0,5,3.120531,0.104007,0.03791698,0.002372235232855293,82.92701237766256,904.458989494876,0.00044721359549995833,-85.5915,-96.3575,695.0167193015046,0.004701063709417266,22.9684,20.9084,1014.9708737864078,0.00044721359549995833,-74.7833,-85.0593,627.7471778902296,9.99999999999994e-05,141.8468,131.5688,1280.1011870013622,1.0,0.1220702,0.03772955,0.06050174,-1.423911,0.4785378,1.501268
1.5,0.26364,0.0,4,3.13281,0.1006898,0.03795488,0.002372235232855293,44.93469526070584,490.27269117592414,0.00044721359549995833,-49.7762,-60.5422,362.3462753111648,0.004701063709417266,13.727,11.667,566.3592233009708,0.00044721359549995833,-43.4554,-53.731399999999994,322.8824445309459,9.99999999999994e-05,83.2007,72.92269999999999,709.5028215606148,1.0,0.1254126,0.03769638,0.08602533,-1.421784,0.4787002,1.62736
1.5,0.27273,0.0,4,3.138468,0.09942426,0.03795706,0.002421776207662466,36.8627152083918,401.94649201518143,0.00044721359549995833,-42.1572,-52.9232,291.57718744194693,0.0048010415536631195,11.7441,9.684099999999999,470.1019417475727,0.00044721359549995833,-36.7927,-47.06870000000001,258.04495912806544,9.99999999999994e-05,70.719,60.440999999999995,588.0618797431406,1.0,0.1267149,0.03767111,0.09627492,-1.419784,0.4787601,1.670363
1.5,0.28182,0.0,4,3.128459,0.1017599,0.03794497,0.002372235232855293,53.867508722095174,587.8250930968961,0.00044721359549995833,-58.2009,-68.9669,440.5991083039197,0.004701063709417266,15.9103,13.850299999999999,672.3446601941747,0.00044721359549995833,-50.8238,-61.0998,394.58738808875046,9.99999999999994e-05,97.0006,86.7226,843.7692158007394,1.0,0.1243108,0.03770967,0.07753272,-1.422864,0.4786509,1.588884
1.5,0.29091,0.0,4,3.125691,0.1024941,0.03793555,0.002372235232855293,61.45718861040586,670.6109932875908,0.00044721359549995833,-65.3561,-76.1221,507.060189485417,0.004701063709417266,17.7595,15.699499999999999,762.1116504854368,0.00044721359549995833,-57.0824,-67.3584,455.4924094978591,9.99999999999994e-05,108.7186,98.44059999999999,957.7797236816499,1.0,0.1235745,0.03771605,0.07187493,-1.423161,0.4786108,1.561442
1.5,0.3,0.0,5,3.121586,0.1040641,0.0379078,0.002421776207662466,83.31202867356551,908.7058663959381,0.00044721359549995833,-85.9542,-96.7202,698.3856585547092,0.0048010415536631195,23.0663,21.0063,1019.7233009708738,0.00044721359549995833,-75.1018,-85.3778,630.8466329311016,9.99999999999994e-05,142.4395,132.16150000000002,1285.8678731270677,1.0,0.1220919,0.03772104,0.06036574,-1.423238,0.4785326,1.500012
